"","Code","Level"
"2","Creative hobbies",3
"3","Creative hobby",2
"5","Physical activity",3
"7","Repairing",3
"9","Indoor leisure and resting",3
"15","News",2
"19","Intellectual entertainment",2
"22","Outdoor leisure",3
"23","Hobby",2
"26","Cultural events",2
"28","Ability games",2
"30","Walking",2
"33","Errands",3
"34","Formal errands",2
"36","Informal errands",2
"38","Housework",3
"39","Caring for a family",2
"43","Shopping",3
"45","Buying gifts",2
"49","Health and personal care",3
"50","Medical care",2
"52","Getting ready",2
"53","Getting ready for a party/date",2
"56","Beauty treatment",2
"60","Physiology",3
"65","Transportation",3
"68","Helping",3
"71","Important events",3
"74","Social activity",3
"77","Family time",3
"78","Babysitting",2
"84","Talking to family",2
"87","Time with family",2
"91","Other socializing",3
"92","Talking to strangers",2
"94","Time with friends",3
"95","Talking to acquaintances",2
"98","Talking to friends",2
"101","Time with acquaintances",2
"108","Time with partner",3
"109","Date",2
"111","Talking to partner",2
"118","Time with pets",3
"119","Caring for a pet",2
"124","Studying and extra classes",3
"125","Exams",2
"129","Extra classes",2
"131","Studying",2
"138","School/University classes",3
"139","In lecture",2
"142","Work",3
"150","Creative hobby (e.g., singing, dancing, playing instruments)",1
"152","Sports",2
"154","Do-it-yourself",2
"156","Resting",2
"157","Listening to music",2
"158","Surfing the Internet",2
"159","Computer games",2
"160","Watching TV/movies",2
"162","Watching or reading news",1
"163","Reading",2
"164","Board games",2
"166","Intellectual entertainment (e.g., crosswords)",1
"170","Getting new information on ones hobby",1
"171","Hobby (e.g., fishing)",1
"173","Cultural events (e.g., concert, theatre play)",1
"175","Ability games (e.g., billiards, bowling)",1
"177","Hiking",1
"178","Sightseeing",2
"181","Formal errands (e.g., at the post office)",1
"183","Informal errands (e.g., making an appointment at a beauty salon)",1
"186","Caring for a family (e.g., cooking)",1
"187","Cleaning",2
"188","Cooking",2
"190","Shopping at a store",1
"192","Buying gifts online",1
"193","Buying gifts at a store",1
"194","Shopping online",2
"197","Medical errands",1
"199","Everyday getting ready to go out",1
"200","Getting ready for a party",1
"201","Getting ready for a date",1
"203","Beauty treatment at a beauty salon",1
"204","Beauty treatment at home",1
"207","Eating",2
"208","Sleeping",2
"209","Hygiene",2
"210","Drinking alcohol",2
"212","Traveling",2
"213","Waiting",3
"215","Helping someone one knows",1
"216","Helping a stranger",1
"218","Someone else important events (e.g., wedding)",1
"219","Ones important event",1
"221","Passive engagement in social activity",1
"222","Active engagement in social activity (e.g., volunteering)",1
"225","Caring for a child (e.g., cooking)",1
"226","Training cognitive skills with a child",1
"227","Training physical skills with a child",1
"228","Playing with a child",1
"229","Participating in important events in a childâ€™s life",1
"231","Talking with a family member face to face",1
"232","Talking with a family member on the phone or online",1
"234","Hosting a family member",1
"235","Meeting a family member in a public place",1
"236","Visiting a family member",1
"239","Talking to a stranger face to face",1
"242","Talking with acquaintances face to face",1
"243","Talking with acquaintances on the phone or online",1
"245","Talking with friends face to face",1
"246","Talking with friends on the phone or online",1
"248","Hosting acquaintances",1
"249","Meeting acquaintances in a public place",1
"250","Visiting acquaintances",1
"251","Hosting friends",1
"252","Meeting friends in a public place",1
"253","Visiting friends",1
"256","Dating",1
"258","Talking with a partner face to face",1
"259","Talking with a partner on the phone or online",1
"260","Sexual activity",2
"261","Hosting a partner",1
"262","Meeting a partner in a public place",1
"263","Visiting a partner",1
"266","Walking pets",1
"267","Caring for pets (e.g., feeding)",1
"268","Playing with pets",1
"269","Training pets",1
"272","Taking exams at school",1
"273","Taking exams at a university",1
"274","Taking exams at extra classes",1
"276","Participating in extra classes",1
"278","Studying for school individually",1
"279","Studying for school in a group of students",1
"280","Studying for university classes individually",1
"281","Studying for university classes in a group of students",1
"282","Studying for extra classes individually",1
"283","Studying for extra classes in a group of students",1
"286","Participating in school lessons",1
"287","Participating in lectures at a university",1
"289","Working",2
"290","Planning",2
"291","Surveys, lotteries",2
"292","Thinking and internal life",2
"293","Religious practices",2
"294","Looking for a job",2
